code,CCS,coding_system
00800ZZ,1,ICDPROC10
00803ZZ,1,ICDPROC10
00804ZZ,1,ICDPROC10
00870ZZ,1,ICDPROC10
00873ZZ,1,ICDPROC10
00874ZZ,1,ICDPROC10
00880ZZ,1,ICDPROC10
00883ZZ,1,ICDPROC10
00884ZZ,1,ICDPROC10
008F0ZZ,1,ICDPROC10
008F3ZZ,1,ICDPROC10
008F4ZZ,1,ICDPROC10
008G0ZZ,1,ICDPROC10
008G3ZZ,1,ICDPROC10
008G4ZZ,1,ICDPROC10
008H0ZZ,1,ICDPROC10
008H3ZZ,1,ICDPROC10
008H4ZZ,1,ICDPROC10
008J0ZZ,1,ICDPROC10
008J3ZZ,1,ICDPROC10
008J4ZZ,1,ICDPROC10
008K0ZZ,1,ICDPROC10
008K3ZZ,1,ICDPROC10
008K4ZZ,1,ICDPROC10
008L0ZZ,1,ICDPROC10
008L3ZZ,1,ICDPROC10
008L4ZZ,1,ICDPROC10
008M0ZZ,1,ICDPROC10
008M3ZZ,1,ICDPROC10
008M4ZZ,1,ICDPROC10
008N0ZZ,1,ICDPROC10
008N3ZZ,1,ICDPROC10
008N4ZZ,1,ICDPROC10
008P0ZZ,1,ICDPROC10
008P3ZZ,1,ICDPROC10
008P4ZZ,1,ICDPROC10
008Q0ZZ,1,ICDPROC10
008Q3ZZ,1,ICDPROC10
008Q4ZZ,1,ICDPROC10
008R0ZZ,1,ICDPROC10
008R3ZZ,1,ICDPROC10
008R4ZZ,1,ICDPROC10
008S0ZZ,1,ICDPROC10
008S3ZZ,1,ICDPROC10
008S4ZZ,1,ICDPROC10
009000Z,1,ICDPROC10
00900ZZ,1,ICDPROC10
009030Z,1,ICDPROC10
00903ZZ,1,ICDPROC10
009040Z,1,ICDPROC10
00904ZZ,1,ICDPROC10
009100Z,1,ICDPROC10
00910ZZ,1,ICDPROC10
009130Z,1,ICDPROC10
00913ZZ,1,ICDPROC10
009140Z,1,ICDPROC10
00914ZZ,1,ICDPROC10
009200Z,1,ICDPROC10
00920ZZ,1,ICDPROC10
009230Z,1,ICDPROC10
00923ZZ,1,ICDPROC10
009240Z,1,ICDPROC10
00924ZZ,1,ICDPROC10
009300Z,1,ICDPROC10
00930ZZ,1,ICDPROC10
009330Z,1,ICDPROC10
00933ZZ,1,ICDPROC10
009340Z,1,ICDPROC10
00934ZZ,1,ICDPROC10
009400Z,1,ICDPROC10
00940ZZ,1,ICDPROC10
009430Z,1,ICDPROC10
00943ZZ,1,ICDPROC10
009440Z,1,ICDPROC10
00944ZZ,1,ICDPROC10
009500Z,1,ICDPROC10
00950ZZ,1,ICDPROC10
009530Z,1,ICDPROC10
00953ZZ,1,ICDPROC10
009540Z,1,ICDPROC10
00954ZZ,1,ICDPROC10
009600Z,1,ICDPROC10
00960ZZ,1,ICDPROC10
009630Z,1,ICDPROC10
00963ZZ,1,ICDPROC10
009640Z,1,ICDPROC10
00964ZZ,1,ICDPROC10
009700Z,1,ICDPROC10
00970ZZ,1,ICDPROC10
009730Z,1,ICDPROC10
00973ZZ,1,ICDPROC10
009740Z,1,ICDPROC10
00974ZZ,1,ICDPROC10
009800Z,1,ICDPROC10
00980ZZ,1,ICDPROC10
009830Z,1,ICDPROC10
00983ZZ,1,ICDPROC10
009840Z,1,ICDPROC10
00984ZZ,1,ICDPROC10
009900Z,1,ICDPROC10
00990ZZ,1,ICDPROC10
009930Z,1,ICDPROC10
00993ZZ,1,ICDPROC10
009940Z,1,ICDPROC10
00994ZZ,1,ICDPROC10
009A00Z,1,ICDPROC10
009A0ZZ,1,ICDPROC10
009A30Z,1,ICDPROC10
009A3ZZ,1,ICDPROC10
009A40Z,1,ICDPROC10
009A4ZZ,1,ICDPROC10
009B00Z,1,ICDPROC10
009B0ZZ,1,ICDPROC10
009B30Z,1,ICDPROC10
009B3ZZ,1,ICDPROC10
009B40Z,1,ICDPROC10
009B4ZZ,1,ICDPROC10
009C00Z,1,ICDPROC10
009C0ZZ,1,ICDPROC10
009C30Z,1,ICDPROC10
009C3ZZ,1,ICDPROC10
009C40Z,1,ICDPROC10
009C4ZZ,1,ICDPROC10
009D00Z,1,ICDPROC10
009D0ZZ,1,ICDPROC10
009D30Z,1,ICDPROC10
009D3ZZ,1,ICDPROC10
009D40Z,1,ICDPROC10
009D4ZZ,1,ICDPROC10
009F00Z,1,ICDPROC10
009F0ZZ,1,ICDPROC10
009F30Z,1,ICDPROC10
009F3ZZ,1,ICDPROC10
009F40Z,1,ICDPROC10
009F4ZZ,1,ICDPROC10
009G00Z,1,ICDPROC10
009G0ZZ,1,ICDPROC10
009G30Z,1,ICDPROC10
009G3ZZ,1,ICDPROC10
009G40Z,1,ICDPROC10
009G4ZZ,1,ICDPROC10
009H00Z,1,ICDPROC10
009H0ZZ,1,ICDPROC10
009H30Z,1,ICDPROC10
009H3ZZ,1,ICDPROC10
009H40Z,1,ICDPROC10
009H4ZZ,1,ICDPROC10
009J00Z,1,ICDPROC10
009J0ZZ,1,ICDPROC10
009J30Z,1,ICDPROC10
009J3ZZ,1,ICDPROC10
009J40Z,1,ICDPROC10
009J4ZZ,1,ICDPROC10
009K00Z,1,ICDPROC10
009K0ZZ,1,ICDPROC10
009K30Z,1,ICDPROC10
009K3ZZ,1,ICDPROC10
009K40Z,1,ICDPROC10
009K4ZZ,1,ICDPROC10
009L00Z,1,ICDPROC10
009L0ZZ,1,ICDPROC10
009L30Z,1,ICDPROC10
009L3ZZ,1,ICDPROC10
009L40Z,1,ICDPROC10
009L4ZZ,1,ICDPROC10
009M00Z,1,ICDPROC10
009M0ZZ,1,ICDPROC10
009M30Z,1,ICDPROC10
009M3ZZ,1,ICDPROC10
009M40Z,1,ICDPROC10
009M4ZZ,1,ICDPROC10
009N00Z,1,ICDPROC10
009N0ZZ,1,ICDPROC10
009N30Z,1,ICDPROC10
009N3ZZ,1,ICDPROC10
009N40Z,1,ICDPROC10
009N4ZZ,1,ICDPROC10
009P00Z,1,ICDPROC10
009P0ZZ,1,ICDPROC10
009P30Z,1,ICDPROC10
009P3ZZ,1,ICDPROC10
009P40Z,1,ICDPROC10
009P4ZZ,1,ICDPROC10
009Q00Z,1,ICDPROC10
009Q0ZZ,1,ICDPROC10
009Q30Z,1,ICDPROC10
009Q3ZZ,1,ICDPROC10
009Q40Z,1,ICDPROC10
009Q4ZZ,1,ICDPROC10
009R00Z,1,ICDPROC10
009R0ZZ,1,ICDPROC10
009R30Z,1,ICDPROC10
009R3ZZ,1,ICDPROC10
009R40Z,1,ICDPROC10
009R4ZZ,1,ICDPROC10
009S00Z,1,ICDPROC10
009S0ZZ,1,ICDPROC10
009S30Z,1,ICDPROC10
009S3ZZ,1,ICDPROC10
009S40Z,1,ICDPROC10
009S4ZZ,1,ICDPROC10
00B00ZZ,1,ICDPROC10
00B03ZZ,1,ICDPROC10
00B04ZZ,1,ICDPROC10
00B10ZZ,1,ICDPROC10
00B13ZZ,1,ICDPROC10
00B14ZZ,1,ICDPROC10
00B20ZZ,1,ICDPROC10
00B23ZZ,1,ICDPROC10
00B24ZZ,1,ICDPROC10
00B60ZZ,1,ICDPROC10
00B63ZZ,1,ICDPROC10
00B64ZZ,1,ICDPROC10
00B70ZZ,1,ICDPROC10
00B73ZZ,1,ICDPROC10
00B74ZZ,1,ICDPROC10
00B80ZZ,1,ICDPROC10
00B83ZZ,1,ICDPROC10
00B84ZZ,1,ICDPROC10
00B90ZZ,1,ICDPROC10
00B93ZZ,1,ICDPROC10
00B94ZZ,1,ICDPROC10
00BA0ZZ,1,ICDPROC10
00BA3ZZ,1,ICDPROC10
00BA4ZZ,1,ICDPROC10
00BB0ZZ,1,ICDPROC10
00BB3ZZ,1,ICDPROC10
00BB4ZZ,1,ICDPROC10
00BC0ZZ,1,ICDPROC10
00BC3ZZ,1,ICDPROC10
00BC4ZZ,1,ICDPROC10
00BD0ZZ,1,ICDPROC10
00BD3ZZ,1,ICDPROC10
00BD4ZZ,1,ICDPROC10
00BF0ZZ,1,ICDPROC10
00BF3ZZ,1,ICDPROC10
00BF4ZZ,1,ICDPROC10
00BG0ZZ,1,ICDPROC10
00BG3ZZ,1,ICDPROC10
00BG4ZZ,1,ICDPROC10
00BH0ZZ,1,ICDPROC10
00BH3ZZ,1,ICDPROC10
00BH4ZZ,1,ICDPROC10
00BJ0ZZ,1,ICDPROC10
00BJ3ZZ,1,ICDPROC10
00BJ4ZZ,1,ICDPROC10
00BK0ZZ,1,ICDPROC10
00BK3ZZ,1,ICDPROC10
00BK4ZZ,1,ICDPROC10
00BL0ZZ,1,ICDPROC10
00BL3ZZ,1,ICDPROC10
00BL4ZZ,1,ICDPROC10
00BM0ZZ,1,ICDPROC10
00BM3ZZ,1,ICDPROC10
00BM4ZZ,1,ICDPROC10
00BN0ZZ,1,ICDPROC10
00BN3ZZ,1,ICDPROC10
00BN4ZZ,1,ICDPROC10
00BP0ZZ,1,ICDPROC10
00BP3ZZ,1,ICDPROC10
00BP4ZZ,1,ICDPROC10
00BQ0ZZ,1,ICDPROC10
00BQ3ZZ,1,ICDPROC10
00BQ4ZZ,1,ICDPROC10
00BR0ZZ,1,ICDPROC10
00BR3ZZ,1,ICDPROC10
00BR4ZZ,1,ICDPROC10
00BS0ZZ,1,ICDPROC10
00BS3ZZ,1,ICDPROC10
00BS4ZZ,1,ICDPROC10
00BT0ZZ,1,ICDPROC10
00BT3ZZ,1,ICDPROC10
00BT4ZZ,1,ICDPROC10
00D10ZZ,1,ICDPROC10
00D13ZZ,1,ICDPROC10
00D14ZZ,1,ICDPROC10
00D20ZZ,1,ICDPROC10
00D23ZZ,1,ICDPROC10
00D24ZZ,1,ICDPROC10
00DF0ZZ,1,ICDPROC10
00DF3ZZ,1,ICDPROC10
00DF4ZZ,1,ICDPROC10
00DG0ZZ,1,ICDPROC10
00DG3ZZ,1,ICDPROC10
00DG4ZZ,1,ICDPROC10
00DH0ZZ,1,ICDPROC10
00DH3ZZ,1,ICDPROC10
00DH4ZZ,1,ICDPROC10
00DJ0ZZ,1,ICDPROC10
00DJ3ZZ,1,ICDPROC10
00DJ4ZZ,1,ICDPROC10
00DK0ZZ,1,ICDPROC10
00DK3ZZ,1,ICDPROC10
00DK4ZZ,1,ICDPROC10
00DL0ZZ,1,ICDPROC10
