STR,CUI
pulmonary hypertension nos,C0020542
hypertensive pulmonary vascular disease,C0020542
hypertension pulmonary,C0020542
pulmonary hypertension disorder,C0020542
pulmonary hypertensions,C0020542
hypertension caused by lung disease,C0020542
pulmonary hypertension,C0020542
pht pulmonary hypertension,C0020542
pressure nos,C0460139
disorder of myocardium,C0878544
myocardiodystrophy,C0878544
myocardiopathy,C0878544
myocardial disease nos,C0878544
disorder of heart muscle,C0878544
myocardium diseases,C0878544
myocardial diseases,C0878544
disease of the heart muscle,C0878544
myocardial disease,C0878544
heart muscle disorder,C0878544
cardiomyopathy unspecified,C0878544
myocardiopathies,C0878544
disease myocardial,C0878544
cardiomyopathy nos,C0878544
cardiomyopathies,C0878544
cardiomyopathy,C0878544
myocardiopathy nos,C0878544
diseases myocardial,C0878544
myocardium disorder,C0878544
heart muscle disease,C0878544
pain angina,C0002962
ischaemic chest pain,C0002962
angina syndrome,C0002962
angina pectoris unspecified,C0002962
angina pectoris syndrome,C0002962
ischemic heart disease angina,C0002962
angina nos,C0002962
chest pain ischemic,C0002962
anginal syndromes,C0002962
anginal syndrome,C0002962
angor pectoris,C0002962
anginal discomfort,C0002962
anginal pain,C0002962
ischaemic heart disease angina,C0002962
ischemic heart disease with angina,C0002962
ischaemic heart disease with angina,C0002962
angina of effort,C0002962
angina,C0002962
cardiac angina syndrome,C0002962
cardiac angina,C0002962
angina pain,C0002962
anginas,C0002962
chest pain cardiac,C0002962
ischemic chest pain,C0002962
angina pectoris,C0002962
ap angina pectoris,C0002962
stenocardias,C0002962
angina pectoris nos,C0002962
angina cardiac,C0002962
stenocardia,C0002962
pectoris angina,C0002962
pressure,C0460139
pressure action,C0460139
pressures,C0460139
reported a family history of ischemic heart disease,C1313980
ischemic heart disease,C1313980
family history of ischaemic heart disease,C1313980
family history of ischemic heart disease,C1313980
fhx ischemic heart disease,C1313980
reported family history of ischemic heart disease,C1313980
fh of ischemic heart disease,C1313980
loss of energy,C0015672
nyha class ii,C1882085
new york heart association class ii,C1882085
fatigue symptom,C0015672
extreme fatigue,C0015672
energy decreased,C0015672
lacking energy,C0015672
decreased energy,C0015672
symptom fatigue,C0015672
time tired,C0015672
fatiguing,C0015672
weariness,C0015672
decrease in energy,C0015672
fatigue,C0015672
fatigue symptoms,C0015672
fatigue extreme,C0015672
lack of energy,C0015672
fatigue nos,C0015672
lacking in energy,C0015672
rndx fatigue,C0015672
tired,C0015672
tired all the time,C0015672
feeling of total lack of energy,C0015672
tiredness,C0015672
tired out,C0015672
fatigued,C0015672
tired time,C0015672
fatigues,C0015672
energy loss,C0015672
dilated ventricle,C0264733
damage nos,C0010957
damages tissue,C0010957
tissue damage,C0010957
damage tissues,C0010957
tissue damage nos,C0010957
damage,C0010957
damages,C0010957
dilated ventricles,C0264733
dilatation of cardiac ventricle,C0264733
cardiac ventricular dilatation,C0264733
dilatation ventricular,C0264733
ventricular dilation,C0264733
ventricular dilatation,C0264733
blood elevates pressure,C0497247
jugular venous engorgement,C0425687
jugular venous distention,C0425687
venous congestion of neck,C0425687
jugular vein distended,C0425687
jugular venous distension,C0425687
heart disorders,C0018799
heart disease nos,C0018799
cardiac disease,C0018799
disease or syndrome of heart,C0018799
cardiopathies,C0018799
cardiac disorder nos,C0018799
disorder of heart,C0018799
heart disorder,C0018799
disease cardiac,C0018799
cardiac disorders,C0018799
diseases and syndromes of heart,C0018799
disorder heart,C0018799
cardiac disorder,C0018799
rndx cardiac,C0018799
heart disease disorder,C0018799
syndrome heart disease,C0018799
unspecified heart problem,C0018799
diseases disorders heart,C0018799
hepatic congestion,C0267821
liver congestion,C0267821
diseases of the heart,C0018799
cardiac diseases,C0018799
disease hearts,C0018799
heart disease,C0018799
disease disorders heart,C0018799
cardiopathy,C0018799
morbus cordis nos,C0018799
heart disease unspecified,C0018799
heart diseases,C0018799
cardiopathy nos,C0018799
morbus cordis,C0018799
kidney failures,C0035078
renal failure nos,C0035078
rf renal failure,C0035078
failure kidney,C0035078
unspecified kidney failure,C0035078
renal failure syndrome,C0035078
failures kidney,C0035078
renal failure,C0035078
syndrome renal failure,C0035078
unspecified renal failure,C0035078
renal insufficiency,C0035078
renal failure unspecified,C0035078
renal failure not otherwise specified,C0035078
renal insufficiency syndrome,C0035078
failures renal,C0035078
kidney failure,C0035078
failure renal,C0035078
renal failures,C0035078
renal failure syndrome nos,C0035078
renal insufficiency syndrome nos,C0035078
fibrillation auricular,C0004238
fibrillation atrial,C0004238
af atrial fibrillation,C0004238
fibrillations atrial,C0004238
atrial fibrillation,C0004238
fibrillations auricular,C0004238
auricular fibrillations,C0004238
quivering upper heart chambers resulting in irregular heartbeat,C0004238
auricular fibrillation,C0004238
a fib,C0004238
atrial fibrillations,C0004238
rise in blood pressure,C0497247
bp raised,C0497247
increased bp,C0497247
elevation blood pressure,C0497247
elevated bp,C0497247
blood pressure increased,C0497247
increase blood pressure,C0497247
blood increasing pressure,C0497247
blood pressure rise,C0497247
increase in blood pressure,C0497247
blood increases pressure,C0497247
blood increase pressure,C0497247
finding of increased blood pressure,C0497247
blood pressure rises,C0497247
blood pressure increase,C0497247
increased blood pressure,C0497247
raised bp,C0497247
arterial pressure nos increased,C0497247
blood pressure raising,C0497247
blood pressure raised,C0497247
elevate blood pressure,C0497247
pressure blood increased,C0497247
pressure arterial increased,C0497247
blood elevate pressure,C0497247
arterial pressure high,C0497247
rise in bp,C0497247
blood pressure elevated,C0497247
blood pressure elevation,C0497247
blood elevations pressure,C0497247
elevated blood pressure,C0497247
blood elevation pressure,C0497247
raised blood pressure,C0497247
acute pulmonary edema nos,C0155919
acute edema of lung nos,C0155919
acute pulmonary edema syndrome,C0155919
acute pulmonary oedema,C0155919
acute oedema of lung,C0155919
acute pulmonary oedema nos,C0155919
acute oedema of lung unspecified,C0155919
acute pulmonary edema,C0155919
pulmonary edema acute,C0155919
acute edema pulmonary,C0155919
pulmonary acute edema,C0155919
acute oedema of lung nos,C0155919
